2026-05-05 17:13:32 | INFO     | ggth.models          | build_dl_model                      | LSTM model compiled — params=90,369, lr=0.00050
2026-05-05 17:15:17 | INFO     | ggth.models          | build_dl_model                      | Building GRU model — input_shape=(60, 30), tuning=False
2026-05-05 17:15:18 | DEBUG    | ggth.models          | _build_gru                          | GRU block built   — units=64/32, dropout=0.30
2026-05-05 17:15:18 | INFO     | ggth.models          | build_dl_model                      | GRU model compiled — params=84,865, lr=0.00050
2026-05-05 17:17:52 | INFO     | ggth.models          | build_dl_model                      | Building TRANSFORMER model — input_shape=(60, 30), tuning=False
2026-05-05 17:17:52 | DEBUG    | ggth.models          | _build_transformer                  | Transformer block built — embed_dim=30, heads=4, ff_dim=64, dropout=0.30, projected=False
2026-05-05 17:17:52 | INFO     | ggth.models          | build_dl_model                      | TRANSFORMER model compiled — params=31,133, lr=0.00050
2026-05-05 17:19:02 | INFO     | ggth.models          | build_dl_model                      | Building TCN model — input_shape=(60, 30), tuning=False
2026-05-05 17:19:03 | DEBUG    | ggth.models          | _build_tcn                          | TCN block built   — filters=64, dilations=[1, 2, 4, 8, 16], dropout=0.30
2026-05-05 17:19:03 | INFO     | ggth.models          | build_dl_model                      | TCN model compiled — params=75,137, lr=0.00050
2026-05-05 17:20:46 | WARNING  | hmmlearn.base        | report                              | Model is not converging.  Current: 132355.3188512745 is not greater than 132372.7549618287. Delta is -17.436110554204788
2026-05-06 09:08:06 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-05-06 09:08:06 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-06 09:08:06 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-06 09:08:06 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-06 09:08:06 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
